競馬場ID,国名ID,国名,エリア,競馬場ID
RBRN,AUS,AUS,WA,Roebourne
ROMA,AUS,AUS,QLD,Roma
RHIL,AUS,AUS,NSW,Rosehill Gardens
ROXB,AUS,AUS,SA,Roxby Downs
RAND,AUS,AUS,NSW,Royal Randwick
SALE,AUS,AUS,VIC,Sale
SAND,AUS,AUS,VIC,Sandown
SAPH,AUS,AUS,NSW,Sapphire Coast
SCNE,AUS,AUS,NSW,Scone
S DP,AUS,AUS,QLD,Sedan Dip
SEYM,AUS,AUS,VIC,Seymour
WERR,AUS,AUS,VIC,Spendthrift Australia Park
BRAT,AUS,AUS,VIC,Ballarat
BRTS,AUS,AUS,VIC,Ballarat Synthetic
PAKM,AUS,AUS,VIC,Pakenham
PAKS,AUS,AUS,VIC,Pakenham Synthetic
WANG,AUS,AUS,VIC,Wangaratta
SPRN,AUS,AUS,TAS,Spreyton
SSRE,AUS,AUS,QLD,Springsure
ST A,AUS,AUS,VIC,St Arnaud
ST G,AUS,AUS,QLD,St George
STAM,AUS,AUS,QLD,Stamford
STAN,AUS,AUS,QLD,Stanthorpe
STAW,AUS,AUS,VIC,Stawell
STON,AUS,AUS,QLD,Stonehenge
S CK,AUS,AUS,VIC,Stony Creek
SBYN,AUS,AUS,SA,Strathalbyn
ST B,AUS,AUS,SA,Streaky Bay
SCST,AUS,AUS,QLD,Sunshine Coast
SCCT,AUS,AUS,QLD,Sunshine Coast Cushion Track
SCSI,AUS,AUS,QLD,Sunshine Coast Inner Track
SURT,AUS,AUS,QLD,Surat
SW H,AUS,AUS,VIC,Swan Hill
SWCK,AUS,AUS,VIC,Swifts Creek
TABM,AUS,AUS,NSW,Tabulam
TALM,AUS,AUS,NSW,Talmoi
TALW,AUS,AUS,QLD,Talwood
TAMB,AUS,AUS,QLD,Tambo
TAMW,AUS,AUS,NSW,Tamworth
TARA,AUS,AUS,QLD,Tara
TAR ,AUS,AUS,NSW,Taree
TARM,AUS,AUS,QLD,Taroom
TAT ,AUS,AUS,VIC,Tatura
T CK,AUS,AUS,NT,Tennant Creek
TER ,AUS,AUS,VIC,Terang
TEXS,AUS,AUS,QLD,Texas
THAN,AUS,AUS,QLD,Thangool
KNLS,AUS,AUS,VIC,The Kennels
M V,AUS,AUS,VIC,The Valley
THEO,AUS,AUS,QLD,Theodore
TIMB,AUS,AUS,NT,Timber Creek
TOC ,AUS,AUS,NSW,Tocumwal
TMGY,AUS,AUS,NSW,Tomingley
TOOD,AUS,AUS,WA,Toodyay
TWBA,AUS,AUS,QLD,Toowoomba
TWBC,AUS,AUS,QLD,Toowoomba Cushion Track
TWBI,AUS,AUS,QLD,Toowoomba Inner Track
TTHM,AUS,AUS,NSW,Tottenham
T HL,AUS,AUS,QLD,Tower Hill
TOWN,AUS,AUS,QLD,Townsville
TOW ,AUS,AUS,VIC,Towong
TRAN,AUS,AUS,NSW,Trangie
TRAR,AUS,AUS,VIC,Traralgon
TRUN,AUS,AUS,NSW,Trundle
TULL,AUS,AUS,NSW,Tullamore
TLBG,AUS,AUS,NSW,Tullibigeal
TUMB,AUS,AUS,NSW,Tumbarumba
T BY,AUS,AUS,SA,Tumby Bay
TUMT,AUS,AUS,NSW,Tumut
TUNC,AUS,AUS,NSW,Tuncurry
TW H,AUS,AUS,QLD,Twin Hills
V PK,AUS,AUS,SA,Victoria Park
WAGG,AUS,AUS,NSW,Wagga
WAGR,AUS,AUS,NSW,Wagga Riverside
WCHA,AUS,AUS,NSW,Walcha
WALG,AUS,AUS,NSW,Walgett
WDAH,AUS,AUS,NSW,Wallabadah
WBYN,AUS,AUS,NSW,Wamboyne
WAND,AUS,AUS,QLD,Wandoan
WLDA,AUS,AUS,NSW,Warialda
WARA,AUS,AUS,QLD,Warra
WKBL,AUS,AUS,VIC,Warracknabeal
WRRN,AUS,AUS,NSW,Warren
WNBL,AUS,AUS,VIC,Warrnambool
WARW,AUS,AUS,QLD,Warwick
W FM,AUS,AUS,NSW,Warwick Farm
WCPE,AUS,AUS,NSW,Wauchope
WEAN,AUS,AUS,NSW,Wean
WELL,AUS,AUS,NSW,Wellington
WENT,AUS,AUS,NSW,Wentworth
FIND,AUS,AUS,VIC,Werribee Park
WILP,AUS,AUS,QLD,Wilpeena
WLNA,AUS,AUS,WA,Wiluna
WDRH,AUS,AUS,QLD,Windorah
WINT,AUS,AUS,QLD,Winton
WOND,AUS,AUS,QLD,Wondai
WMAI,AUS,AUS,VIC,Woolamai
WYAN,AUS,AUS,QLD,Wyandra
WYCH,AUS,AUS,VIC,Wycheproof
WYND,AUS,AUS,WA,Wyndham
WYNG,AUS,AUS,NSW,Wyong
YALG,AUS,AUS,WA,Yalgoo
YRKA,AUS,AUS,QLD,Yaraka
YGHC,AUS,AUS,VIC,Yarra Glen Hunt
YASS,AUS,AUS,NSW,Yass
YEA ,AUS,AUS,VIC,Yea
YEPP,AUS,AUS,QLD,Yeppoon
YORK,AUS,AUS,WA,York
YUNG,AUS,AUS,NSW,Young
BDLE,AUS,AUS,VIC,Bairnsdale
ECHA,AUS,AUS,VIC,Echuca
GEEL,AUS,AUS,VIC,Geelong
GEES,AUS,AUS,VIC,Geelong Synthetic
MILD,AUS,AUS,VIC,Mildura
KILM,AUS,AUS,VIC,Kilmore
KYNE,AUS,AUS,VIC,Kyneton
WOD ,AUS,AUS,VIC,Wodonga
Y VL,AUS,AUS,VIC,Yarra Valley
